"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZMTL8ZKG","journalArticle","2025","Ba, L.; Tangour, F.; El Abbassi, I.; Absi, R.","Analysis of Digital Twin Applications in Energy Efficiency: A Systematic Review","Sustainability (Switzerland)","","20711050 (ISSN)","10.3390/su17083560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003656265&doi=10.3390%2Fsu17083560&partnerID=40&md5=15880fe7a56c0315846422e00798a2f4","Digital Twin (DT) technology is emerging as a powerful tool for optimizing energy efficiency and industrial sustainability. By creating virtual replicas of physical systems, DTs enable real-time monitoring, predictive maintenance, and resource optimization, offering new opportunities to meet growing energy demands. Despite its potential, the comprehension of DT technology’s applications, benefits, and challenges remains limited. This systematic review explores the role of Digital Twins in energy efficiency across various industries. A structured literature search was conducted in IEEE Xplore, Elsevier, Springer, MDPI, and Google Scholar, following PRISMA 2020 guidelines. After applying the predefined inclusion criteria, 50 studies were selected for in-depth analysis. The findings highlight that DT implementation can lead to energy savings of up to 30%, reduce operational costs, and improve predictive maintenance strategies. Their impact is particularly notable in smart buildings, manufacturing, and industrial processes, where real-time data analytics contribute to better energy management. However, significant barriers remain, including high implementation costs, data security risks, and the complexity of integrating DTs with existing infrastructures. By synthesizing the current research, this review underscores the transformative potential of Digital Twins while identifying key challenges that need to be addressed for their wider adoption. Future efforts should focus on developing standardized methodologies, reducing implementation costs, and enhancing cybersecurity measures to maximize their benefits in energy efficiency and sustainability. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:54","2025-11-20 12:12:36","","","","8","17","","Sustainability","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\XP53K8YY\Ba et al. - 2025 - Analysis of Digital Twin Applications in Energy Efficiency A Systematic Review.pdf","","energy efficiency; sustainability; literature review; Industry 4.0; Digital Twin; predictive maintenance; digitization; maintenance; smart buildings; energy storage; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K445EJH6","journalArticle","2025","Mayer, A.; Greif, L.; Häußermann, T.M.; Otto, S.; Kastner, K.; El Bobbou, S.; Chardonnet, J.-R.; Reichwald, J.; Fleischer, J.; Ovtcharova, J.","Digital Twins, Extended Reality, and Artificial Intelligence in Manufacturing Reconfiguration: A Systematic Literature Review","Sustainability (Switzerland)","","20711050 (ISSN)","10.3390/su17052318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000775946&doi=10.3390%2Fsu17052318&partnerID=40&md5=43be33f4644d39296f2d527a1272e2af","This review draws on a systematic literature review and bibliometric analysis to examine how Digital Twins (DTs), Extended Reality (XR), and Artificial Intelligence (AI) support the reconfiguration of Cyber–Physical Systems (CPSs) in modern manufacturing. The review aims to provide an updated overview of these technologies’ roles in CPS reconfiguration, summarize best practices, and suggest future research directions. In a two-phase process, we first analyzed related work to assess the current state of assisted manufacturing reconfiguration and identify gaps in existing reviews. Based on these insights, an adapted PRISMA methodology was applied to screen 165 articles from the Scopus and Web of Science databases, focusing on those published between 2019 and 2025 addressing DT, XR, and AI integration in Reconfigurable Manufacturing Systems (RMSs). After applying the exclusion criteria, 38 articles were selected for final analysis. The findings highlight the individual and combined impact of DTs, XR, and AI on reconfiguration processes. DTs notably reduce reconfiguration time and improve system availability, AI enhances decision-making, and XR improves human–machine interactions. Despite these advancements, a research gap exists regarding the combined application of these technologies, indicating potential areas for future exploration. The reviewed studies recognized limitations, especially due to diverse study designs and methodologies that may introduce risks of bias, yet the review offers insight into the current DT, XR, and AI landscape in RMS and suggests areas for future research. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:54","2025-11-19 21:42:29","","","","5","17","","Sustainability","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\RUZAS9AC\Mayer et al. - 2025 - Digital Twins, Extended Reality, and Artificial Intelligence in Manufacturing Reconfiguration A Sys.pdf","","artificial intelligence; machine learning; literature review; decision making; digital twins; cyber–physical systems; extended reality; human–machine interaction; manufacturing; nature-society relations; reconfigurable manufacturing systems; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJQBKSAQ","journalArticle","2025","Rojas, L.; Peña, Á.; Garcia, J.","AI-Driven Predictive Maintenance in Mining: A Systematic Literature Review on Fault Detection, Digital Twins, and Intelligent Asset Management","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app15063337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000967139&doi=10.3390%2Fapp15063337&partnerID=40&md5=2ce8ac8861b9263c62ff1948af512185","The mining industry faces increasing challenges in maintaining high production levels while minimizing unplanned failures and operational costs. Critical assets, such as crushers, conveyor belts, mills, and ventilation systems, operate under extreme conditions, leading to accelerated wear and failure risks. Traditional maintenance strategies often fail to prevent unexpected downtimes, safety hazards, and economic losses. As a response, industries are integrating predictive monitoring technologies, including machine learning, the Internet of Things, and digital twins, to enhance early fault detection and optimize maintenance strategies. This Systematic Literature Review analyzes 166 high-impact studies from Scopus and Web of Science, identifying key trends in fault detection algorithms, hybrid AI models, and real-time monitoring techniques. The findings highlight the increasing adoption of deep learning, reinforcement learning, and digital twins for anomaly detection and process optimization. Additionally, AI-driven methods are improving sensor-based data acquisition and asset management, extending equipment lifecycles while reducing failures. Despite these advancements, challenges such as data standardization, model scalability, and system interoperability persist, requiring further research. Future work should focus on real-time AI applications, explainable models, and academia-industry collaboration to accelerate the implementation of intelligent maintenance solutions, ensuring greater reliability, efficiency, and sustainability in mining operations. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:54","2025-11-19 20:36:52","","","","6","15","","Appl. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","C:\Users\jvcte\Zotero\storage\MZGTD932\Rojas et al. - 2025 - AI-Driven Predictive Maintenance in Mining A Systematic Literature Review on Fault Detection, Digit.pdf","","Deep learning; Deep reinforcement learning; Systematic literature review; Predictive maintenance; Asset management; predictive maintenance; Assets management; digital twins; Maintenance strategies; deep learning; Machine-learning; Competition; Belt conveyors; Crushers; Fault detection algorithm; fault detection algorithms; Faults detection; Industrial IoT; Loss prevention; machine learning in mining; Machine learning in mining; Operating costs; Preventive maintenance; Reinforcement learning; Resource valuation; included; included.i1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68Y73VN3","journalArticle","2025","","Correction to: Discrete event simulation and Digital Twins in warehouse logistics: a bibliometric and content analysis-based systematic literature review (International Journal of Computer Integrated Manufacturing, (2024), (1-28), 10.1080/0951192X.2024.2314772)","International Journal of Computer Integrated Manufacturing","","0951192X (ISSN); 13623052 (ISSN)","10.1080/0951192X.2024.2388927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200484581&doi=10.1080%2F0951192X.2024.2388927&partnerID=40&md5=8964775f0e123504cbe40ad4b4282b0e","Article title: Discrete event simulation and Digital Twins in warehouse logistics: a bibliometric and content analysis-based systematic literature review Authors: Aretoulaki, Eleni., Ponis, Stavros., Plakas, George & Tzanetou, Dimitra. Journal: TCIM: International Journal of Computer Integrated ManufacturingDOI: http://dx.doi.org/10.1080/0951192X.2024.2314772 When the article was originally published, the title of the article as follows: (DT4Smart) discrete event simulation and Digital Twins in warehouse logistics: a bibliometric and content analysis-based systematic literature review The current revised article title is: Discrete event simulation and Digital Twins in warehouse logistics: a bibliometric and content analysis-based systematic literature review. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:57","2025-11-16 16:17:25","","ii","","6","38","","Int J Computer Integr Manuf","Correction to: Discrete event simulation and Digital Twins in warehouse logistics: a bibliometric and content analysis-based systematic literature review (International Journal of Computer Integrated Manufacturing, (2024), 37, 10-11, (1376-1403), 10.1080/0951192X.2024.2314772)","","","","","","","English","","","Scopus","","","","Publisher: Taylor and Francis Ltd.","","C:\Users\jvcte\Zotero\storage\LYCJJE5F\2025 - Correction to Discrete event simulation and Digital Twins in warehouse logistics a bibliometric an.pdf","","included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MVJQH77","conferencePaper","2025","Soman, S.M.; Golzar, F.; Molinari, M.; Rolando, D.","Digital twins for smart grid connected buildings: A systematic literature review","Proc. ASME Int. Conf. Energy Sustain., ES","9780791889039 (ISBN)","","10.1115/ES2025-155281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018580210&doi=10.1115%2FES2025-155281&partnerID=40&md5=03938162bda3eb477717015e2572a5b8","Building and construction sector is responsible for 40% of the total energy consumption and 36% of the total greenhouse gas emissions in the European Union. Digital twin is an emerging digital tool that facilitates building management through data interactions using sensor readings between a physical building and its digital model and improves operation and enhances transparency. However, since the digital twin technologies are not mature and has several challenges associated with it, such as need for extensive data, it is necessary to conduct a systematic literature review on its application to buildings and smart grids. The majority of the current studies look into how digital twins can be used for the management of normal residential or commercial buildings that are connected to conventional electricity grids with little scope for bidirectional power flow. This study conducts a systematic literature review to map the current landscape of research on digital twins in gridinteractive buildings, with a focus on identifying the software tools used in the creation of digital twins for improving energy efficiency. The study uses scientific databases like Scopus and Web of Sciences and has been carried out in accordance with PRISMA guidelines that specify the different steps involved in the methodology to conduct systematic reviews. Autodesk Revit and Artificial Neural Networks emerged as the most common software and technique, based on previous works. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:58","2025-11-16 18:31:30","","","","","","","","","","","","","American Society of Mechanical Engineers (ASME)","","English","","","Scopus","","","","Journal Abbreviation: Proc. ASME Int. Conf. Energy Sustain., ES","","","","Energy efficiency; Reviews; Sustainable development; Energy Efficiency; Systematic literature review; Buildings; Information management; Digital Twin; Digital twin; Smart grid; Construction industry; Intelligent buildings; Smart power grids; Energy; 'current; Digital devices; Office buildings; Construction sectors; Building and construction; Buildings sector; Computer aided software engineering; Computer software; Copyrights; Electric power transmission networks; Energy utilization; Energy-consumption; Grid-connected; Smart Grid; Systematic Literature review; Total energy; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FABWT4T","journalArticle","2025","Weerasinghe, L.N.K.; Darko, A.; Chan, A.P.C.; Xiao, B.","Digital twin for sustainable decision-making in building net zero carbon retrofitting: a systematic review","Built Environment Project and Asset Management","","20441258 (ISSN); 2044124X (ISSN)","10.1108/BEPAM-03-2025-0090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017136612&doi=10.1108%2FBEPAM-03-2025-0090&partnerID=40&md5=de99655b5d1476f74c18009e75d82ce2","Purpose – Digital twin (DT) is an innovative concept within the construction sector that utilizes real-world performance data to create a virtual model, enabling optimized decision-making. Building net zero carbon (NZC) retrofitting offers an opportunity to reduce global carbon emissions. However, decision-makers face challenges in making smart and sustainable decisions in NZC retrofitting. DT can improve the smartness and sustainability of the decision-making practice in NZC retrofitting, providing promising solutions. Hence, this study assesses the potential of DT for smart and sustainable decision-making in NZC retrofitting. Design/methodology/approach – This study used a three-stage methodology, which included initial work, systematic review and analysis and discussion. Accordingly, the study investigated 29 relevant academic publications on DT and building retrofitting to NZC, using content analysis as the major analytical approach. Findings – The findings demonstrated the effective application of DT in assessing carbon emissions, energy usage, comfort levels and financial savings within the context of building NZC retrofitting. However, it highlighted a lack of integrated focus on the environmental, social and economic pillars of sustainability in NZC retrofitting. Furthermore, the review identified the technologies utilized in implementing DT for building NZC retrofitting as data-related, modeling-related and model simulation-related technologies. Centered on the identified gaps, the study provides recommendations for building NZC retrofitting. Originality/value – The identified gaps and proposed directions would guide future researchers interested in implementing DT to make sustainable decisions in building NZC retrofitting. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:59","2025-11-16 16:41:18","","","","","","","Built Environ. Proj. Asset Manage.","","","","","","","","English","","","Scopus","","","","Publisher: Emerald Publishing","","","","Digital twin; Review; Building; Net zero carbon; Retrofitting; Smart and sustainable decision-making; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNFWX7UL","journalArticle","2025","Ghanbarifard, R.; Almeida, A.H.; Azevedo, A.","Structuring Complex System for Digital Twin Development: A Systematic Scoping Review","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2025.3610067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016645625&doi=10.1109%2FACCESS.2025.3610067&partnerID=40&md5=e9cffb45328dae5702b27a2fb633e97d","Complex systems, characterised by high interconnectedness and unpredictability, demand structured approaches to support decision-making, system integration, and operational efficiency. This study aims to develop a comprehensive understanding of these systems to facilitate the implementation of Digital Twins (DTs) in Complex Operations Environments (COEs). A Systematic Literature Review (SLR), following PRISMA methodology, is conducted and complemented by a grounded theory approach to identify, organise, and synthesise system characteristics. The result is a hierarchical conceptualisation comprising eight core categories that capture the essential dimensions of complexity, including: Process and System Interoperability, Human Relationships, Behaviour/Nature, Products and Services, Multi-processes, Performance, System Structure, and Management and Skill Requirements. This framework offers a structured foundation for designing and implementing DT-based decision support in COEs. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:59","2025-11-20 11:26:34","","162285-162303","","","13","","IEEE Access","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","C:\Users\jvcte\Zotero\storage\A25DPHPT\Ghanbarifard et al. - 2025 - Structuring Complex System for Digital Twin Development A Systematic Scoping Review.pdf","","Digital twin; Decision making; Large scale systems; Behavioral research; digital twins; Decision support systems; Complex operations; Complex system characteristic; Complex systems characteristics; complexity conceptualization; Complexity conceptualization; Decision-making systems; hierarchical conceptualization; Hierarchical conceptualization; Hierarchical systems; operational environments; Operational environments; Scoping review; Structured approach; System characteristics; system engineering; System integration; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDVYUZNA","journalArticle","2025","Bae, C.; Choi, E.; Lee, S.","Technologies, Applications, and Challenges of Digital Twin Across Industries: A Systematic Review of the State-of-the-Art Literature","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2025.3601615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013996327&doi=10.1109%2FACCESS.2025.3601615&partnerID=40&md5=77d1ad982062f63bd474c7c3f19c5387","Digital twins can be defined as a virtual representation of a physical object that can replicate its behavior in a virtual environment. This concept involves the integration of three distinct components: the physical space, the virtual space, and the communication between these two spaces. Digital twins are recognized as one of the key driving forces in various industries, and a comprehensive understanding is necessary to utilize them. A thorough review of the advantages and disadvantages of digital twins, including their value, characteristics, applications, and challenges, is essential to analyze their growth potential and investment value. This paper comprehensively reviews the digital twin applications being studied across industries. To this end, we propose three research questions and address them through a structured literature review. First, we examine the core technologies of digital twins and find that they form an integrated framework combining modeling, sensing, and real-time data processing. Second, we analyze their adoption across industries and observe widespread use in aerospace and aeronautics, manufacturing, healthcare, energy, and urban systems with domain-specific objectives. Third, we explore life-cycle applications and identify digital twins as enablers of continuity from design to operation and evolution. These findings offer a broad perspective on the current state and future potential of digital twin applications. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:59","2025-11-20 12:11:41","","152843-152869","","","13","","IEEE Access","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","C:\Users\jvcte\Zotero\storage\2ZD9EZ33\Bae et al. - 2025 - Technologies, Applications, and Challenges of Digital Twin Across Industries A Systematic Review of.pdf","","Industry 4.0; Digital twin; Life cycle; Systematic Review; Virtual reality; Technology application; Physical objects; Virtual representations; Aerospace engineering; Digital twin application; digital twin applications; digital twin challenge; Digital twin challenge; digital twin technologies; Digital twin technology; Investments; State of the art; Technology challenges; Virtual environments; Virtual spaces; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFWGZ74J","conferencePaper","2025","Pişirgen, A.; Areta Hiziroglu, O.A.","Applications of Digital Twin in Precision Medicine: A Systematic Review","Int. Conf. New Trends Comput. Sci., ICTCS","9798331523411 (ISBN)","","10.1109/ICTCS65341.2025.10989480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007306263&doi=10.1109%2FICTCS65341.2025.10989480&partnerID=40&md5=e0a87df2258595a4ff9171a03970ff8e","Digital twin (DT) technology has emerged as a transformative tool in healthcare and precision medicine, enabling personalized care through real-time simulations, predictive modelling, and patient-specific diagnostics. This systematic review analyses 94 peer-reviewed articles from the Scopus database, highlighting the role of machine learning (ML) techniques—such as supervised, unsupervised, and hybrid methods—in advancing DT applications. The study explores the integration of emerging technologies, including blockchain and generative artificial intelligence (AI), to enhance DT functionality and data security. Spanning disciplines such as cardiology, oncology, neurology, and metabolic disorders, the research underscores the interdisciplinary applications of DTs while addressing critical ethical concerns like data privacy, algorithmic bias, and regulatory challenges. Despite limitations, including reliance on a single database and subjective categorization, this review demonstrates the transformative potential of DTs and suggests future research directions in quantum computing integration and patient-centered DT design. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:07:59","2025-11-19 20:57:04","","392-399","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: Int. Conf. New Trends Comput. Sci., ICTCS","","C:\Users\jvcte\Zotero\storage\Q84ZIVU8\Pişirgen e Areta Hiziroglu - 2025 - Applications of Digital Twin in Precision Medicine A Systematic Review.pdf","","artificial intelligence; digital twin; Predictive models; Systematic Review; Supervised learning; Cardiography; Emerging technologies; Hybrid method; Machine learning techniques; Neurophysiology; Patient specific; precision medicine; Realtime simulation (RTS); Scopus database; Supervised methods; Unsupervised learning; Unsupervised method; included; included.i1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WT7KT2T6","journalArticle","2025","Venkateswarlu, N.; Sathiyamoorthy, M.","Sustainable innovations in digital twin technology: a systematic review about energy efficiency and indoor environment quality in built environment","Frontiers in Built Environment","","22973362 (ISSN)","10.3389/fbuil.2025.1523464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001738535&doi=10.3389%2Ffbuil.2025.1523464&partnerID=40&md5=4fc7b9fc96641280599c24842151762e","In the contemporary digital age, the built environment undergoes significant changes because of technological innovations that improve building management, optimize building efficiency, and enhance overall productivity. Digital Twin technology has emerged as an indispensable tool for enhancing indoor environmental quality and optimizing energy efficiency in existing buildings. This demonstrates its similarity to several SDGs, where digital twin technology is key to achieving many of them, especially those relevant to our research: 7. Affordable and clean energy; 3. Good health and wellbeing are the primary outcomes of our study; 9. Industry innovation and infrastructure are the focus of our methodology; and 11. Sustainable cities and communication, to which our research contributes. However, some challenges require further consideration. First, to assess the methods and tools used to monitor and represent environmental parameters. Second, to review previous studies on Digital Twin technology in the context of energy efficiency and indoor environmental quality. This study systematically examined 261 academic articles to address these challenges, identifying 17 relevant publications investigating Digital Twin for enhancing energy efficiency and indoor environmental quality in buildings. The research emphasizes Building Information Modeling, Internet of Things, and Big Data, which collectively improve the monitoring and management of physical assets through real-time data replication. Our research illustrates the need for a multidisciplinary framework to rigorously analyze Digital Twin applications, as a comprehensive understanding of the consequences of this technology requires the integration of different fields. The review emphasizes the confined application of sensors for monitoring the environment, the importance of residents subjective impressions, and the need for further comparative studies on energy use estimation methods. For future investigation, enhanced international collaboration is imperative to improve the scholarly exploration of Digital Twin related to this field. Finally, the built environment can benefit significantly from implementing Digital Twin technology. However, the challenges must be addressed before technology can achieve its full potential for creating sustainable and energy-efficient buildings. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:08:00","2025-11-16 17:03:02","","","","","11","","Front. Built Environ.","","","","","","","","English","","","Scopus","","","","Publisher: Frontiers Media SA","","C:\Users\jvcte\Zotero\storage\ZT4HVZWB\Venkateswarlu e Sathiyamoorthy - 2025 - Sustainable innovations in digital twin technology a systematic review about energy efficiency and.pdf","","digital twin; energy efficiency; bim; buildings; indoor environmental quality; scientometric review; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6SMBTIWS","conferencePaper","2025","Filho, P.T.J.C.; Junior, O.C.","Digital Twin in Industry 4.0: Systematic review and content analysis and an architectural reference model","Procedia Comput. Sci.","18770509 (ISSN); 9781510849914 (ISBN)","","10.1016/j.procs.2025.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000464865&doi=10.1016%2Fj.procs.2025.02.016&partnerID=40&md5=8443907cbbc36afa07529bf89cc4771a","Recent findings showed that Digital Twin served multiple constituencies. However, the dilemma between scope and scale requires a sophisticated reference architecture, an appropriate set of technologies and an appropriate business model. Most studies in Digital Twin have focused only on manufacturing and proposed explicit structures and architecture, which have faced challenges in supporting different levels of integration through an agile process. Furthermore, no known empirical research has focused on exploring the relationships between the Digital Twin and mass individualization. Therefore, the main objective of this study was to identify suitable Industry 4.0 technologies and a holistic reference architecture model to realize the most challenging Digital Twin-enabled applications. In this study, a Digital Twin reference architecture was developed and applied in an industrial case. Furthermore, the Digital Twin as a Service (DTaaS) paradigm used for the digital transformation of unique wetlands with considerable advantages including smart scheduled maintenance, real-time monitoring, remote control and forecasting functionalities. The findings indicate that there is a significant relationship between the capabilities of Digital Twin as a Service and mass individualization. © 2025 Elsevier B.V., All rights reserved.","2025","2025-11-16 16:08:00","2025-11-20 11:36:36","","2919-2928","","","253","","","","","","","","Elsevier B.V.","","English","","","Scopus","","","","Journal Abbreviation: Procedia Comput. Sci.","","C:\Users\jvcte\Zotero\storage\69Q5C6RK\Filho e Junior - 2025 - Digital Twin in Industry 4.0 Systematic review and content analysis and an architectural reference.pdf","","Content analysis; Digital transformation; Digital Twin; digital transformation; industry 4.0; Reference architecture; Systematic Review; Smart manufacturing; Agile process; Business models; Empirical research; Individualisation; Level of integrations; Reference modeling; included","","Solina, V.; Longo, F.; Romero, D.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Procedia Computer Science","","","","","","","","","","","","","","",""
"Y3PA3JS8","journalArticle","2024","Aghazadeh Ardebili, A.; Zappatore, M.; Ramadan, A.I.H.A.; Longo, A.; Ficarella, A.","Digital Twins of smart energy systems: a systematic literature review on enablers, design, management and computational challenges","Energy Informatics","","25208942 (ISSN)","10.1186/s42162-024-00385-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205923870&doi=10.1186%2Fs42162-024-00385-5&partnerID=40&md5=806c3f02ba8c9f382702f93b30376aed","Background: Energy systems, as critical infrastructures (CI), constitute Cyber-Physical-Social Systems (CPSS). Due to their inherent complexity and the importance of service continuity of CIs, digitization in this context encounters significant practical challenges. Digital Twins (DT) have emerged over the recent years as a promising solution for managing CPSSs by facilitating real-time interaction, synchronization, and control of physical assets. The selection of an appropriate architectural framework is crucial in constructing a DT, to ensure integration of enabling technologies and data from diverse sources. Objectives: This study proposes a Systematic Literature Review (SLR) to examine technological enablers, design choices, management strategies and Computational Challenges of DTs in Smart Energy Systems (SES) by also analyzing existing architectures and identifying key components. Methods: The SLR follows a rigorous workflow exploiting a multi-database search with predefined eligibility criteria, accompanied by advanced searching techniques, such as manual screening of results and a documented search strategy, in order to ensure its comprehensiveness and reliability, More specifically, research questions are first defined and then submitted as queries to scientific digital libraries (i.e., IEEE Xplore, Scopus, and WoS) selected due to their coverage and reliability (Google Scholar was excluded for the presence of grey literature and non-peer-reviewed material). Then, inclusion and exclusion criteria are established to filter the results and shortlist the significant publications. Subsequently, relevant data are extracted, summarized, and categorized in order to identify common themes, existing gaps, and future research directions, with the aim of providing a comprehensive overview of the current state of DTs for SESs. Results: From the proposed DT-based solutions described in the selected publications, the adopted architectures are examined and categorized depending on their logical building blocks, microservices, enabling technologies, human–machine interfaces (HMI), artificial intelligence and machine learning (AI/ML) implementations, data flow and data persistence choices, and Internet-of-Things (IoT) components involved. Additionally, the integration of edge-cloud computing and IoT technologies in literature are studied and discussed. Finally, gaps, opportunities, future study lines, and challenges of implementing DTs are thoroughly addressed. The results achieved also pave the way for a forthcoming design pattern catalog for DTs in CPSSs capable of supporting the engineering and research communities, by offering practical insights on implementation and integration aspects. Conclusion: The proposed SLR provides a valuable resource for designing and implementing DTs of CPSSs in general and of SESs in particular. Furthermore, it highlights the potential benefits of adopting DTs to manage complex energy systems and it identifies areas for future research. © 2024 Elsevier B.V., All rights reserved.","2024","2025-11-16 16:08:01","2025-11-20 12:22:37","","","","1","7","","Energy. Inform.","","","","","","","","English","","","Scopus","","","","Publisher: Springer Nature","","C:\Users\jvcte\Zotero\storage\CAZNFU3A\Aghazadeh Ardebili et al. - 2024 - Digital Twins of smart energy systems a systematic literature review on enablers, design, managemen.pdf","","Reviews; Network security; Digital Twin; Bibliographies; Systems architecture; Cyber-physical systems; Interoperability; Energy; Cybe-physical systems; Complex system; Cybe-physical-social system; Cyber physicals; Cyber-Physical System; Cyber-Physical-Social System; Edge clouds; Edge-cloud continuum; Edge-Cloud Continuum; Empowerment of personnel; Energy internet; Energy internet-of-thing; Energy IoT; Failure rate; Fault tree analysis; Foil bearings; Gas bearings; Graph structures; Internet of energy; Magnetic couplings; Piston rings; Railroad bearings; Ring springs; Rotating disks; Screws; SGML; Shear walls; Smart energy system; Smart energy systems; Social systems; System architecture; Variable speed drives; Voltage scaling; included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
