"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design and Application of a Network Planning System Based on Digital Twin Network","J. Zhao; X. Xiong; Y. Chen","Cloud-Network Integration Research Center, China Telecom Research Institute, Beijing, China; Cloud-Network Integration Research Center, China Telecom Research Institute, Beijing, China; Cloud-Network Integration Research Center, China Telecom Research Institute, Beijing, China",IEEE Journal of Radio Frequency Identification,"12 Dec 2022","2022","6","","900","904","As a real-time representation of physical entities in the digital world, digital twin (DT) has been widely used in several industrial fields, bringing significant efficiency gains and cost reductions. Network planning is a very important stage in network life cycle management. At this stage, comprehensive and effective use of network data and historical experience can not only greatly reduce the cost of network planning and construction, but also speed up the production and launch of technologies and products. In this paper, a network planning system based on digital twin network (DTN) is proposed. Aiming at the key problems faced by current network planning, we complete the overall architecture design of the system and the detailed design of each unit. Finally, we verified the applications of this system in practice, including the closed-loop process of network planning, the entire life cycle management of data, and the visualization of the whole process of network planning. It is shown that by using this general digital system, the efficiency and accuracy of network planning can be effectively improved and the cost can be reduced.","2469-7281","","10.1109/JRFID.2022.3210750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905999","Network planning system;digital twin;network planning model;data management","Planning;Data models;Predictive models;Radiofrequency identification;Digital twins;Analytical models;Database systems","","26","","10","IEEE","29 Sep 2022","2022","","IEEE","IEEE Journals"
"How to overcome difficulties met in deploying digital twins of electrical assets over their whole life cycle? A data management perspective","L. Guise; L. Hossenlopp; T. Cormenier; A. . -F. Cutting-Decelle; G. D. Marzo Serugendo; I. Khan","Schneider Electric, Grenoble, France; University of Geneva, Geneva, Switzerland; University of Geneva, Geneva, Switzerland; University of Geneva, Geneva, Switzerland; University of Geneva, Geneva, Switzerland; University of Geneva, Geneva, Switzerland",CIRED 2021 - The 26th International Conference and Exhibition on Electricity Distribution,"25 Jan 2022","2021","2021","","322","326","There is an increasing interest from Utilities or electro-intensive electricity users to use the digital representation of electrical assets, i.e., “digital twins”, with the aim of increased life span, decreased operation cost and increase operation safety. The reality is that such ambition faces many difficulties for real industrial deployment, especially by lack of data or lack of data interoperability. This paper will first assess the usage of digital twins in this context, identify main difficulties, then derive requirements applying to the data and the data processes. Then the paper will assess technics which may overcome these difficulties and meet the above requirements.","","978-1-83953-591-8","10.1049/icp.2021.2197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9692750","","","","1","","","","25 Jan 2022","20-23 Sept. 2021","20-23 Sept. 2021","IET","IET Conferences"
"Definition Of Digital Twin Network Data Model in The Context of Edge-Cloud Continuum","S. M. Raza; R. Minerva; N. Crespi; M. Karech","SAMOVAR, Telecom SudParis Institut Polytechnique de Paris, France; SAMOVAR, Telecom SudParis Institut Polytechnique de Paris, France; SAMOVAR, Telecom SudParis Institut Polytechnique de Paris, France; NEW GENERATION SR, Research and Development, France",2023 IEEE 9th International Conference on Network Softwarization (NetSoft),"13 Jul 2023","2023","","","402","407","The telecommunications sector is devoting an initial interest in the representation of complex networks as Digital Twins. The concept of a Digital Twin Network (DTN) is a research topic, but it promises to be an important step for harmonizing different models of the Edge-Cloud Continuum. The DTN software framework aims at helping network operations by providing updated and complete views on the network or parts of it, and it also introduces the possibility to simulate the network behavior or to learn from network events history (Machine Learning) without jeopardizing the actual operations of resources. In addition, thanks to the representation capabilities of the DT, its usage in the network promises to support different stakeholders’ views on their virtualized and physical infrastructure. This work tries to consolidate a DTN data model representing the elements of the Edge-Cloud Continuum by providing a layered (horizontal) and segmented (vertical) view of the infrastructure to all the involved stakeholders. The DTN model is an ontology where the linked classes represent properties and relations of networked components. This work aims to design a flexible and extensible ontology that describes the Edge-Cloud continuum usable in the telecommunications as well in the Cloud (IT and web) industries creating a bridge between the two.","2693-9789","979-8-3503-9980-6","10.1109/NetSoft57336.2023.10175444","Horizon Europe; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10175444","Digital Twin Network;Edge-Cloud Continuum;Data Model;Ontology;Service User","Industries;Machine learning;Ontologies;Data models;Software;Digital twins;Telecommunications","","7","","15","IEEE","13 Jul 2023","19-23 June 2023","19-23 June 2023","IEEE","IEEE Conferences"
"ETHICA: Designing Human Digital Twins—A Systematic Review and Proposed Methodology","M. W. Lauer-Schmaltz; P. Cash; D. G. T. Rivera","Department of Technology, Management and Economics, Technical University of Denmark, Kongens Lyngby, Denmark; School of Design, Northumbria University, Newcastle upon Tyne, U.K.; Department of Technology, Management and Economics, Technical University of Denmark, Kongens Lyngby, Denmark",IEEE Access,"25 Jun 2024","2024","12","","86947","86973","Human Digital Twins (HDTs) have emerged as a key technology in digitalizing human-centered applications, able to enhance decision-making, personalize healthcare, and optimize workplace environments. However, despite a growing research body, there exists a critical lack of guidance for designing sophisticated, user-centric HDTs. In addressing this gap, this paper reports a systematic literature review of 44 papers in the field of HDTs (published between 2022 and 2023) to distill key design process insights and identify gaps in the current understanding and approaches to HDT design. Based on insights from this review, we introduce ETHICA, a systematic methodology that advocates for an iterative development process, emphasizing stakeholder collaboration and focusing on ethical and user-centric principles throughout the design life cycle. The resulting ETHICA methodology offers a robust blueprint for constructing sophisticated HDTs that harmonizes technological advancements with human-centered design and ethical considerations, encouraging a shift towards more holistic and human-centric approaches in the emerging field of Digital Twin technologies.","2169-3536","","10.1109/ACCESS.2024.3416517","European Union’s Horizon 2020 Research and Innovation Program(grant numbers:871767); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10562275","Agile;artificial intelligence;big data;complex system modeling;design;development process;digital twin;ethical design;framework;guideline;human digital twins;human-centered technology;Industry 5.0;information systems;iterative design;methodology;personalized healthcare technology;user-centric design","Ethics;Digital twins;Real-time systems;Monitoring;Iterative methods;Systematics;Artificial intelligence;Complex systems;User centered design;Fifth Industrial Revolution","","9","","114","CCBY","19 Jun 2024","2024","","IEEE","IEEE Journals"
"Digital-Twin-Driven PI Parameter Evaluation Method for Grid-Connected Converters","X. Cheng; J. Chen; Y. Chen; X. Zhao; Z. Zhou; Q. Yang; N. Y. Dai","Research Center Guangdong Power Grid Co., Ltd., Zhuhai Power Supply Bureau and DC Power Distribution and Consumption Technology, Zhuhai, China; Research Center Guangdong Power Grid Co., Ltd., Zhuhai Power Supply Bureau and DC Power Distribution and Consumption Technology, Zhuhai, China; Research Center Guangdong Power Grid Co., Ltd., Zhuhai Power Supply Bureau and DC Power Distribution and Consumption Technology, Zhuhai, China; Zhuhai Power Supply Bureau Guangdong Power Grid Co., Ltd., Zhuhai, China; Department of Electrical and Computer Engineering, SKL of Internet of Things for Smart City, University of Macau, Macao, China; Department of Electrical and Computer Engineering, SKL of Internet of Things for Smart City, University of Macau, Macao, China; Department of Electrical and Computer Engineering, SKL of Internet of Things for Smart City, University of Macau and Zhuhai UM Science & Technology Research Institute, Macao and Zhuhai, China",2023 4th International Conference on Power Engineering (ICPE),"25 Mar 2024","2023","","","26","31","Digital twin technology describes and models the characteristics, behavior, formation process and real-world performance of physical objects by using digital technologies such as sensors, Internet of Things (IoT), and artificial intelligence (AI). It is one of the key technologies to realize real-time perception and operation optimization of electric power equipment. Proportional-integral (PI) modules are the most commonly used blocks in the control system of power converters. But choosing the parameters with the best control effect requires repeated experiments. Therefore, this paper proposes a data-driven model that can evaluate the control performance of different PI parameters accurately and efficiently. First, the concept of digital twins and a general architecture applicable to the key power electronic equipment are demonstrated. Then, taking the grid-connected converter as an example, a data-driven model based on artificial neural network (ANN) and Levenberg-Marquardt (LM) algorithm is built to realize the evaluation of PI controller parameters. Comparisons with simulation models are also provided to show the validity of the digital-twin driven control parameter evaluation method.","","979-8-3503-4002-0","10.1109/ICPE59729.2023.10469163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10469163","digital twin;data-driven model;artificial neural network;PI controller","Simulation;Artificial neural networks;Predictive models;Sensor phenomena and characterization;Prediction algorithms;Power electronics;Real-time systems","","5","","22","IEEE","25 Mar 2024","11-13 Dec. 2023","11-13 Dec. 2023","IEEE","IEEE Conferences"
"Smart City Digital Twin Platform Architecture for Mobility and Transport Decision Support Systems","P. Bellini; E. Collini; M. Fanfani; L. A. I. Palesi; P. Nesi","Dept. of Information Engineering, DISIT Lab Snap4City, University of Florence, Florence, Italy; Dept. of Information Engineering, DISIT Lab Snap4City, University of Florence, Florence, Italy; Dept. of Information Engineering, DISIT Lab Snap4City, University of Florence, Florence, Italy; Dept. of Information Engineering, DISIT Lab Snap4City, University of Florence, Florence, Italy; Dept. of Information Engineering, DISIT Lab Snap4City, University of Florence, Florence, Italy",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","5486","5495","Addressing mobility and transport problems is nowadays of paramount importance for any city due to the increasing urbanization. Traffic congestion, pollutant emissions, energy consumption are some of the problems related to urban mobility. Therefore, there is the need of tools able to support decision-makers in studying, evaluating, and planning sustainable urban evolutions. A few open-source and proprietary solutions are available requiring on-premises installations, large effort, and providing limited capabilities to actually handle real-time data (from data spaces, and standards). Moreover, they are limited in terms of analytic integration and do not offer automatic generation of suggestions. In practice they do not manage the explosion of complexity regarding computational and storage/models aspects. For these reasons, this paper presents a comprehensive architecture for a Smart City Digital Twin platform, specifically designed to support mobility and transportation decision-making through advanced what-if analysis and optimization. The platform, integrated within the Snap4City system, enables real-time data processing and complex analytics to create virtual urban environments for evaluating potential infrastructure changes. Through microservice architecture, the platform supports massive data ingestion, scenario creation, and predictive modelling, facilitating both short-term and long-term planning. The solution leverages artificial intelligence (AI), machine learning (ML), and reinforcement learning (RL) to optimize city operations and suggest actionable insights, aiding city planners in strategic and tactical decisions. This architecture has been validated through implementations in Italian cities, demonstrating scalability and flexibility to accommodate diverse urban needs and improve traffic flow, energy efficiency, and environmental impact. This work has been performed in the context of OPTIFaaS Flagship of CN MOST, the National Centre for Sustainable Mobility in Italy, and for CN HPC Big Data and Quantum Computing, ICSC.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825075","Digital Twin;Urban Scenario;Optimization;Traffic;Decision Support System","Smart cities;Urban planning;Transportation;Computer architecture;Big Data;Real-time systems;Digital twins;Planning;Optimization;Traffic congestion","","8","","31","IEEE","16 Jan 2025","15-18 Dec. 2024","15-18 Dec. 2024","IEEE","IEEE Conferences"
"Research on Typical Digital Twin Scenarios and Simulation Platforms in the Distribution IoT","B. Zhang; F. Luo; Y. Yu; C. Di; R. Wen","Network Security Department of Electric, Power Dispatching and Control Center Guizhou Power Grid Co., LTD, Guizhou, China; Network Security Department of Electric, Power Dispatching and Control Center Guizhou Power Grid Co., LTD, Guizhou, China; Network Security Department of Electric, Power Dispatching and Control Center Guizhou Power Grid Co., LTD, Guizhou, China; Network Security Department of Electric, Power Dispatching and Control Center Guizhou Power Grid Co., LTD, Guizhou, China; Network Security Department of Electric, Power Dispatching and Control Center Guizhou Power Grid Co., LTD, Guizhou, China",2025 5th International Conference on Electrical Engineering and Computer Technology (IC2ECT),"22 Dec 2025","2025","","","367","371","Facing the system complexity challenges caused by large-scale user access in the new distribution Internet of Things, this paper focuses on the innovation of twin modeling methods under the digital twin technology system, and proposes a digital twin scene construction scheme that integrates the multi-source energy flow-information flow collaborative mechanism and the behavior mapping of multiple subjects. Based on the dynamic evolution mechanism of the cyber-physical system (CPS), the designed simulation platform breaks through the modeling bottleneck of traditional simulation technology for complex distribution scenarios, and can support functions such as flexible grid structure construction, detailed information process description, system verification under complex cyber-physical interaction and security defense. It builds a digital twin with core functions such as intelligent grid topology reconfiguration, precise mapping of operating status, and embedded security defense mechanisms. A specific case analysis is conducted for a typical cyber-physical interaction scenario of distribution networks with distributed energy access. The simulation results verify the practicality and effectiveness of the proposed simulation platform, providing an innovative technical verification carrier for the construction of the security defense system of the new distribution Internet of Things.","","979-8-3315-7462-8","10.1109/IC2ECT66838.2025.11291039","China Southern Power Grid; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11291039","Digital twin;Distribution Internet of Things;Simulation platform","Technological innovation;System verification;Power system dynamics;Collaboration;Computer architecture;Digital twins;Topology;Internet of Things;Security;Synchronization","","","","16","IEEE","22 Dec 2025","19-21 Sept. 2025","19-21 Sept. 2025","IEEE","IEEE Conferences"
"Proposed Components for the Information Architecture of a Critical Infrastructure Coordination Centre","C. Passerini","Lepida SCpA, Bologna, Italy",2024 IEEE World Forum on Public Safety Technology (WFPST),"30 Jul 2024","2024","","","57","61","This paper introduces a novel model for the Information Architecture of a Critical Infrastructures Coordination Center, emphasizing its reliance on digital components such as metadata, procedural metadata, and smart contracts. The Information Architecture model represents an original approach to bolstering the resilience of infrastructures by addressing risk scenarios that are affected by cascading effects. The study approaches the problem of defining a business model for the Coordination Centers. The purpose is to identify the benefit-to-cost ratio of the Centers to provide evidence of the opportunity for investment in this solution. The Information Architecture is a component of the Enterprise Architecture introduced by NIST. The primary advantage of Enterprise Architecture is to provide stakeholders with a shared understanding of the needs and opportunities. Likewise, the Information Architecture abstraction presented here provides a simple framework for communicating the essential elements of interaction between critical infrastructure operators while maintaining a focus on trust as the key factor to promote cooperation to increase resilience.","","979-8-3503-2914-8","10.1109/WFPST58552.2024.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10607112","Critical Infrastructures;Critical Infrastructures Coordination Center;Cascading Effects;Enterprise Architecture;Information Architecture","Privacy;Computational modeling;Smart contracts;Computer architecture;Metadata;Critical infrastructure;Stakeholders","","","","20","IEEE","30 Jul 2024","14-15 May 2024","14-15 May 2024","IEEE","IEEE Conferences"
"A Study on Digital Twin Modules that Support Digital Twinning of the Physical World","T. -G. Kwon","Smart Network Research Center, Korea Electronics Technology Institute, Korea, Seoul",2024 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),"10 Dec 2024","2024","","","1","3","A digital twin is a physical entity that is replicated as logical information and expressed in the digital world. The logical information in the digital world includes information such as the entity's properties, characteristics, behaviors and events, and is synchronized with the physical entity in real time. However, the lack of a common definition and understanding of digital twins, the difficulty of integrating distributed and isolated backend data, and the lack of a standardized information model to increase interoperability between data sources are hindering the adoption of digital twins. In this paper, we aim to implement and study a digital twin module that can model entities as logical information and support synchronization between physical and digital entities to make it easier to build digital twins.","","979-8-3315-3083-9","10.1109/ICCE-Asia63397.2024.10773657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773657","Digital Twin;IoT;Information Model","Smart agriculture;Actuators;Soft sensors;Distributed databases;Real-time systems;Data models;Digital twins;Synchronization;Security;Interoperability","","","","9","IEEE","10 Dec 2024","3-6 Nov. 2024","3-6 Nov. 2024","IEEE","IEEE Conferences"
"Research on Integrated Energy Demand Response Strategy Based on Digital Twin","S. Zhang; G. Li; Y. Cao; Y. Tan; Z. Liu; Y. Ren","Northeast Electric Power Design Institute Co., Ltd.; Northeast Electric Power Design Institute Co., Ltd.; Northeast Electric Power Design Institute Co., Ltd.; Northeast Electric Power Design Institute Co., Ltd.; Northeast Electric Power Design Institute Co., Ltd.; Northeast Electric Power Design Institute Co., Ltd.",2023 IEEE Sustainable Power and Energy Conference (iSPEC),"25 Jan 2024","2023","","","1","6","The integrated energy demand response strategy with the algorithm of digital twin is presented to meet the requirement of electricity spot trading market construction with the target of carbon peaking and carbon neutrality. The bidirectional synchronization between real space and virtual space can be realized by the digital twin platform and associated symbiosis algorithm. The data driven method can be used to synchronize digital twin database from the physical system. The integrated energy digital twin model is divided to physical layer, communication layer, cloud computing layer and virtual layer which can be used to realize information identification and trend perception of power system. The power prediction of integrated energy in the digital twin platform can be achieved by General Regression Neural Network. The change can be identified to the specific unit with the K-means aggregation method in the digital twin platform. The demand response quota is quantized and decomposed to each unit of integrated energy system with the active participation of distributed generation and distributed user loads in digital twin platform. The result of the current demand response can be used to update the model of training database and guide the execution of the next demand response. The integrated energy system operation state will be optimized by the demand response of wind farm, photovoltaic plant, biomass power plant, energy storage plant, resident load, industry load, business load and public service load. The targets of sustainable development of integrated energy system will be reached with the optimal economic, social and environmental benefits through the digital twin platform.","2837-522X","979-8-3503-2269-9","10.1109/iSPEC58282.2023.10402866","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10402866","Digital Twin;Integrated Energy;Demand Response;General Regression Neural Network","Computational modeling;Neural networks;Predictive models;Demand response;Digital twins;Synchronization;Load modeling","","1","","10","IEEE","25 Jan 2024","28-30 Nov. 2023","28-30 Nov. 2023","IEEE","IEEE Conferences"
"Towards Semantically Interoperable Data Ecosystems in the Energy Sector: A Case Study on Domain-Specific Ontologies in an Energy Data Space","A. -L. Peh; K. Krämer; T. Schmeyer; D. Rohrbach","Angewandte Systemtechnik, Fraunhofer IOSB, Ilmenau, Germany; Cognitive Assistence Systems, German Research Center for Artificial Intelligence, Saarbrücken, Germany; Cognitive Assistence Systems, German Research Center for Artificial Intelligence, Saarbrücken, Germany; Angewandte Systemtechnik, Fraunhofer IOSB, Ilmenau, Germany",2025 19th International Conference on Semantic Computing (ICSC),"19 Jun 2025","2025","","","122","127","In the European energy sector, the integration of disparate data sources can be a crucial factor in enhancing operational efficiency and stimulating innovation. This paper presents a case study on the implementation of domain-specific ontologies in an Energy Data Space (EDS), with the objective of achieving semantic interoperability in this data ecosystem. The study demonstrates how the implementation of the International Data Space Reference Architecture Model Version 4 (IDS-RAM 4) and the utilization of diverse energy-specific vocabularies can facilitate consistent data representation, the integration of use cases within a domain, compatibility with established formats, such as the Common Information Model (CIM), and interop-erability between different systems. The proposed approach is validated using two key use cases: the provision of data from a digital twin and energy measurement data. The results highlight the potential of semantic technologies to create a more resilient, secure, and efficient data ecosystem for the energy sector. Index Terms-decentralized data management, data space, energy market communication, energy sector, ontology, eclipse dataspace components, IDS-RAM 4, IDSA, CIM, Common Information Model, ECLASS, Open Energy Ontology, Asset Administration Shell, linked data, CIM compatibility, semantic interoperability, eclipse data space connector, IoT, IDTA, JSON-LD, data ecosystem","2472-9671","979-8-3315-2426-5","10.1109/ICSC64641.2025.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11036149","decentralized data management;data space;energy market communication;energy sector;ontology;eclipse dataspace components;ids-ram 4;idsa;cim;common information model;eclass;open energy ontology;asset administration shell;linked data;cim compatibility;semantic interoperability;eclipse data space connector;iot;idta;json-ld;data ecosystem","Vocabulary;Technological innovation;Soft sensors;Linked data;Ecosystems;Ontologies;Common Information Model (computing);Indexes;Interoperability;Semantic technology","","","","35","IEEE","19 Jun 2025","3-5 Feb. 2025","3-5 Feb. 2025","IEEE","IEEE Conferences"
"Native Network Digital Twin Architecture for 6G: From Design to Practice","Q. Li; Y. Zhang; L. Wang; X. Duan; L. Lu; Y. Hu; Y. Zhan; Y. Lian; T. Sun","China Mobile Research Institute; Beijing University of Posts and Telecommunications, China; ZTE Corporation, China; China Mobile Research Institute; China Mobile Research Institute; China Mobile Research Institute; ZTE Corporation, China; China Mobile Research Institute; China Mobile Research Institute",IEEE Communications Magazine,"31 Mar 2025","2025","63","4","24","31","Based on the operator's experience in actual large-scale network operations, it is essential to provide deep insight into complex and large-scale networks from all perspectives. Meanwhile, future network evolution will also require comprehensive optimization regarding service experience and network operation. Network digital twin (NDT) is currently considered a potential solution to tackle those challenges, by which the physical network can be effectively monitored, analyzed, predicted, simulated, and optimized through its real-time replica. In this context, this article proposes a native network digital twin architecture for 6G, and elaborates on NDT's full life cycle process from design state to runtime state. Moreover, to address two major technical challenges regarding real-time data acquisition and digital twin modelling, digital acquisition of network functions in a native mode, new data pipeline mechanism, and gray-box modelling are introduced. Finally, an NDT has been designed and implemented for the rehearsal and evaluation of network signaling storms to tackle the challenges that they present to network operators, and has been compared with real network testing results. The experimental results show that the mean absolute percentage error (MAPE) values of the successful registration count and registration arrival rate on NDT reach 25 percent and 3 percent, respectively, convincingly demonstrating the effectiveness of the proposed architecture and digital twin modelling method.","1558-1896","","10.1109/MCOM.001.2400216","Beijing University of Posts and Telecommunications-China Mobile Research Institute Joint Innovation Center; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10742570","","Data models;Real-time systems;Digital twins;6G mobile communication;Data acquisition;Runtime;Data collection;Artificial intelligence;Adaptation models;Optimization","","3","","15","IEEE","4 Nov 2024","April 2025","","IEEE","IEEE Magazines"
"Improving the Real-Data Driven Network Evaluation Model for Digital Twin Networks","H. Shin; I. Aliyu; A. Isah; J. Kim","Dept. of ICT Convergence System Engineering, Chonnam National University, South Korea; Dept. of ICT Convergence System Engineering, Chonnam National University, South Korea; Dept. of ICT Convergence System Engineering, Chonnam National University, South Korea; Dept. of ICT Convergence System Engineering, Chonnam National University, South Korea",2024 IEEE International Conference on Communications Workshops (ICC Workshops),"12 Aug 2024","2024","","","7","12","With the emergence and proliferation of new forms of large-scale services such as smart homes, virtual reality/augmented reality, the increasingly complex networks are raising concerns about significant operational costs. As a result, the need for network management automation is emphasized, and Digital Twin Networks (DTN) technology is expected to become the foundation technology for autonomous networks. DTN has the advantage of being able to operate and system networks based on real-time collected data in a closed-loop system, and currently it is mainly designed for optimization scenarios. To improve network performance in optimization scenarios, it is necessary to select appropriate configurations and perform accurate performance evaluation based on real data. However, most network evaluation models currently use simulation data. Meanwhile, according to DTN standards documents, artificial intelligence (AI) models can ensure scalability, real-time performance, and accuracy in large-scale networks. Various AI research and standardization work is ongoing to optimize the use of DTN. When designing AI models, it is crucial to consider the characteristics of the data. Since communication networks are composed of a graph structure connecting distributed devices, reflecting this spatial information when training AI models will help improve accuracy. This paper presents an autoencoder-based skip connected message passing neural network (AE-SMPN) as a network evaluation model using real network data. The model is created by utilizing graph neural network (GNN) with recurrent neural network (RNN) models to capture the spatiotemporal features of network data. Additionally, an AutoEncoder (AE) is employed to extract initial features. The neural network was trained using the real DTN dataset provided by the Barcelona Neural Networking Center (BNN-UPC), and the paper presents the analysis of the model structure along with experimental results.","2694-2941","979-8-3503-0405-3","10.1109/ICCWorkshops59551.2024.10615265","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10615265","digital twin networks;network automation;autoencoder;message passing neural network","Accuracy;Recurrent neural networks;Evaluation models;Smart homes;Data models;Real-time systems;Graph neural networks","","1","","19","IEEE","12 Aug 2024","9-13 June 2024","9-13 June 2024","IEEE","IEEE Conferences"
"Secure Information Exchange Between Optical Network Digital Twin and Optical Transport Network","A. Abishek; L. G. Renom; R. Muñoz; M. Ruffini; D. Briantcev; D. Kilper; A. Asensio; X. Masip-Bruin; R. Vilalta","Centre Tecnologic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain; Centre Tecnologic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain; Centre Tecnologic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain; Trinity College, Dublin, Ireland; Trinity College, Dublin, Ireland; Trinity College, Dublin, Ireland; Advanced Network Architectures Lab (CRAAX), Universitat Polytecnica de Catalunya (UPC); Advanced Network Architectures Lab (CRAAX), Universitat Polytecnica de Catalunya (UPC); Centre Tecnologic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain",2025 IEEE 11th International Conference on Network Softwarization (NetSoft),"21 Jul 2025","2025","","","343","347","This paper explores the role of data spaces in enabling secure, interoperable data exchange between Network Digital Twins and SDN Controllers. This approach emphasizes data space connectors for faster, scalable, and flexible integration of multiple components across digital ecosystems to work in unison. The proposed approach is to use a common trusted platform (in this paper, the platform used is TRUE Connector) which is responsible for secure information exchange between components(e.g: SDN Controller, Network Digital Twins, Software applications, etc.) in a digital ecosystem, thus encouraging collaboration between multiple technology vendors to provide more efficient network services and encourage interoperability.","2693-9789","979-8-3315-4345-7","10.1109/NetSoft64993.2025.11080637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080637","International Data Space - TRUE Connector;ADRENALINE Testbed;Interoperability","Connectors;Optical design;Ecosystems;Optical fiber networks;Aerospace electronics;Software;Real-time systems;Digital twins;Information exchange;Interoperability","","","","9","IEEE","21 Jul 2025","23-27 June 2025","23-27 June 2025","IEEE","IEEE Conferences"
"Advanced Fault Detection in Electric Vehicles Utilizing Digital Twin Technology and Deep Learning-Based Temporal-Spatial Analysis","A. Rastogi; A. Agrawal; R. Singh","Centre for Automation, Robotics and Mechatronics BML Munjal University, Gurugram, Haryana; Centre for Automation, Robotics and Mechatronics BML Munjal University, Gurugram, Haryana; Centre for Automation, Robotics and Mechatronics BML Munjal University, Gurugram, Haryana",2025 IEEE 5th International Conference on Sustainable Energy and Future Electric Transportation (SEFET),"2 Dec 2025","2025","","","1","6","The rapid growth of Electric Vehicles demands analytical and predictive maintenance solutions. Digital Twin technology, a virtual representation of an EV that integrates real-world data with simulations, allowing for continuous analysis, proactive maintenance, and better decision-making which has emerged as a game changer in automotive industry. In this research, the authors have created a Digital Twin of an electric vehicle and its Battery Management System using Simulink, incorporating real-world fluctuations, potential errors, and system faults. Factors affecting the performance such as battery dynamics, motor efficiency, environmental conditions, and sensor readings were considered for real-time analysis by storing the same in cloud database. This data assists in the development of the proposed Hybrid Temporal-Spatial Attention Network (HTSAN), a deep learning model that integrates CNN, Bi-GRU/LSTM, and Dual Attention Mechanisms. Critical issues like overheating, sensor malfunctions, battery wear, and motor failures were identified by the model efficiently. This approach showcases how the integration of Digital Twin technology with advanced deep learning methods can transform fault detection, enable predictive maintenance, and enhance EV performance.","","979-8-3315-3544-5","10.1109/SEFET65155.2025.11255236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11255236","Electric Vehicles;Digital Twins;Deep Learning;Cloud Integration;Spatial-Attention Mechanisms","Deep learning;Cloud computing;Software packages;Fault detection;Motors;Data models;Real-time systems;Digital twins;Batteries;Predictive maintenance","","","","13","IEEE","2 Dec 2025","9-12 July 2025","9-12 July 2025","IEEE","IEEE Conferences"
